order_id,order_date,estimated_delivery_date,status,tracking_id,customer_id,supplier_id,customer_contact,supplier_contact
ord001001,2024-03-19,2024-04-08,cancelled,7eedc94e-948b-43b8-9bbe-904d3a78adf7,49e3bddf-9cbf-424d-81a2-bf8446a40f59,7d1098ff-d959-4b32-8644-5bfbc31d9316,hughesjessica@example.net,deborah61@example.com
ord001002,2024-02-21,2024-03-18,processing,641c0636-fd4f-422b-8d94-b78799848cb5,853afdb3-28ad-427e-b214-65f3013dd4ba,81c839c7-3c7b-49b1-8a6d-de6f7e61348e,khickman@example.org,sarah82@example.com
ord001003,2024-03-08,2024-04-01,shipped,d1c91798-c329-4748-84b2-9d26da972469,7f5cf334-e3e6-43dd-9d0e-122d4133b76e,5decc9ea-5d2f-4119-960e-507e97b06bea,tracy01@example.net,gprice@example.org
ord001004,2024-03-08,2024-03-14,delivered,b6f09855-ceb2-4d9e-a42f-5122d9ddadda,f75a3ede-4898-4879-a953-3d011a46f9b0,fa585f3e-8def-4393-b1c3-8514ae0b5a36,michaellester@example.com,lawrence15@example.com
ord001005,2024-03-03,2024-03-24,cancelled,b20f9c17-df76-4971-83c2-8f20957a0aea,cc001610-cdf6-4272-850d-c0f981412cbc,8f3ae6ce-de1e-41ae-9c78-38b266bf559d,jacquelinerivas@example.net,colonallison@example.org
ord001006,2024-03-07,2024-03-21,shipped,858630d2-7447-4110-ab68-545e4ff0e8f7,c11d9d1d-61cb-40e7-94c1-1b9e33e38802,11248aaa-52ce-4247-8ad2-e34bda24641d,tdeleon@example.com,iayers@example.org
ord001007,2024-02-29,2024-03-13,delivered,0494c069-b9d1-4b58-943e-da9073b620a2,d828bba7-71bc-46af-8c48-463fea255aa9,a55c865e-1a98-4593-bb6a-27846edb2d6e,hickmanjessica@example.org,garzajason@example.org
ord001008,2024-03-17,2024-04-08,processing,a8b354cb-1e6b-4ac7-8435-3e5eae52b031,21629dc8-ba0b-4efa-a194-6b94dc936509,0ffe1ee0-4185-4413-9170-9a1b4d231ceb,gjohnson@example.net,jennifer58@example.com
ord001009,2024-03-06,2024-03-26,cancelled,e0b999d2-b934-4539-947f-56bddb4c52f2,53cdaeef-3f85-4032-876d-d46a6ea9c0d4,d7d89dd4-7003-4a4f-ba72-b616d0cd22c7,seangibbs@example.com,croberts@example.net
ord001010,2024-03-10,2024-03-18,processing,51445c33-230e-494b-b9f3-689b4576fd0a,f4ccb179-bfc8-446f-9a49-6384748a385c,00e40ce3-1939-4a9a-8c9d-1ba56885e99d,stephanie39@example.net,acampbell@example.net
